file,folder,time_s,channel,members,n_channels,score,polarity,prominence,l1_sharpness
S01_009_EEG_01.edf,,680.128,P8,F4@680.092:17.9;PZ@680.112:18.8;CZ@680.128:21.4;P8@680.128:36.2;F3@680.152:20.6;FZ@680.152:21.4;O2@680.160:22.9,7,0.166481,1,10.423,9.9893
S01_009_EEG_01.edf,,680.312,F3,F3@680.312:18.1;FZ@680.312:14.9,2,0.039148,1,6.7294,7.2532
S01_009_EEG_01.edf,,680.372,F7,T7@680.368:13.7;F7@680.372:18.6,2,0.195298,-1,8.471,8.8073
S01_009_EEG_01.edf,,680.392,C3,C3@680.392:18.1;C4@680.392:16.5,2,0.17386,1,4.8387,6.276
S01_009_EEG_01.edf,,680.58,F8,F8@680.580:24.9;T8@680.580:19.2,2,0.147676,1,12.1441,8.4309
S01_009_EEG_01.edf,,680.584,P7,T7@680.580:23.1;P7@680.584:30.4,2,0.043574,-1,9.0853,7.6129
S01_009_EEG_01.edf,,681.532,P7,F4@681.532:19.0;P7@681.532:23.7,2,0.068682,-1,8.4996,6.3297
S01_009_EEG_01.edf,,681.644,P8,P8@681.644:21.0;F3@681.668:19.7;FP1@681.668:19.5;FP2@681.668:20.3;FZ@681.668:17.9,5,0.056959,1,7.8613,6.2044
S01_009_EEG_01.edf,,681.864,P8,C3@681.860:20.1;P8@681.864:24.9,2,0.140595,-1,7.8613,6.4304
S01_009_EEG_01.edf,,681.928,FP2,FP2@681.928:15.4;F8@681.952:15.4,2,0.079306,-1,7.3414,6.3033
S01_009_EEG_01.edf,,681.944,CZ,CZ@681.944:18.2;PZ@681.944:17.1,2,0.159872,1,4.9812,8.2676
S01_009_EEG_01.edf,,682.064,P8,P7@682.020:24.3;T7@682.020:19.1;F4@682.024:21.9;FZ@682.056:18.8;P8@682.064:29.3,5,0.075804,1,7.5892,7.9734
S01_009_EEG_01.edf,,682.288,P3,P3@682.288:20.3;PZ@682.292:17.5,2,0.06823,1,5.8408,6.0999
S01_009_EEG_01.edf,,682.372,C3,C3@682.372:25.5;P8@682.372:22.1,2,0.093843,1,6.4259,8.3793
S01_009_EEG_01.edf,,682.412,P7,T7@682.408:18.2;P7@682.412:20.6,2,0.032893,1,7.3307,6.0966
S01_009_EEG_01.edf,,682.668,C3,C3@682.668:19.6;C4@682.712:18.9,2,0.027327,-1,6.4259,6.7244
S01_009_EEG_01.edf,,683.292,P7,F8@683.260:18.6;FP2@683.284:17.9;F4@683.288:17.5;P7@683.292:19.6,4,0.026189,-1,6.439,6.0888
S01_009_EEG_01.edf,,683.972,C4,PZ@683.948:20.2;CZ@683.968:20.5;C4@683.972:28.2;T8@683.972:24.2,4,0.044355,1,12.5347,9.9445
S01_009_EEG_01.edf,,684.176,F8,T8@684.132:30.0;C4@684.148:22.4;P4@684.152:24.3;F8@684.176:33.6,4,0.22482,1,19.6124,6.6293
S01_009_EEG_01.edf,,684.224,CZ,CZ@684.224:23.8;F3@684.224:23.7,2,0.092405,-1,7.0077,10.1255
S01_009_EEG_01.edf,,684.272,FP2,PZ@684.252:15.5;FP2@684.272:29.6,2,0.495111,-1,14.9102,6.0636
S01_009_EEG_01.edf,,684.428,FP2,FZ@684.348:28.6;O1@684.348:33.7;C3@684.368:27.8;P3@684.368:32.1;P8@684.388:25.8;O2@684.392:36.4;FP1@684.420:37.0;F8@684.424:40.7;FP2@684.428:43.0;F4@684.432:28.5;F3@684.460:24.6,11,0.456567,-1,14.9102,8.0193
S01_009_EEG_01.edf,,684.532,P4,P7@684.528:35.8;T7@684.528:29.3;C4@684.532:38.1;P4@684.532:48.6;PZ@684.544:37.5;O1@684.556:43.7;P3@684.556:43.3;C3@684.560:29.9,8,0.093017,1,13.7355,14.3987
S01_009_EEG_01.edf,,684.712,P4,F4@684.608:31.3;FP2@684.632:32.8;FZ@684.632:23.2;P8@684.632:25.7;O2@684.636:31.0;F3@684.672:25.2;FP1@684.676:32.9;F7@684.680:34.6;C4@684.708:37.4;T7@684.708:27.3;P4@684.712:44.5;P3@684.728:37.4;P7@684.732:31.0,13,0.305101,1,13.7355,8.0684
S01_009_EEG_01.edf,,684.848,FP2,FZ@684.816:27.2;F4@684.844:31.1;O2@684.844:44.8;PZ@684.844:27.4;F8@684.848:42.7;FP2@684.848:48.3;O1@684.848:47.2,7,0.059541,1,12.9113,13.1093
S01_009_EEG_01.edf,,684.96,P4,T7@684.912:31.0;C4@684.916:50.4;F7@684.920:26.1;F3@684.924:34.2;P7@684.936:33.4;P3@684.940:27.4;FP1@684.956:30.6;P4@684.960:60.7;P8@684.960:40.8,9,0.091219,1,13.7355,12.741
S01_009_EEG_01.edf,,685.116,F4,F4@685.116:34.8;FZ@685.116:32.4,2,0.023487,1,8.0924,11.1717
