log10_gap_s,gap_s,density
-0.0847392532804736,0.822736465679342,0.5411624646962114
-0.0783720652026838,0.83488745383433,0.5432437549306733
-0.07200487712489378,0.8472178998343294,0.5453443025962175
-0.06563768904710399,0.8597304540907892,0.5474603811871303
-0.059270500969313966,0.8724278061590656,0.5495883275593223
-0.05290331289152417,0.8853126853165341,0.5517245394601216
-0.04653612481373415,0.898387861149247,0.5538654724050255
-0.04016893673594413,0.9116561441472495,0.5560076360012541
-0.03380174865815433,0.9251203863086912,0.558147589820068
-0.02743456058036431,0.9387834817528603,0.5602819389208925
-0.02106737250257451,0.9526483673422677,0.5624073291303495
-0.01470018442478449,0.9667180233139242,0.5645204421783506
-0.00833299634699447,0.9809954739199358,0.5666179907915239
-0.001965808269204672,0.9954837880775628,0.5686967138413838
0.004401379808585348,1.010186080028881,0.5707533716409524
0.010768567886375147,1.0251055100101805,0.572784741478968
0.017135755964165167,1.040245284931257,0.5747876134754896
0.023502944041955187,1.0556086590647291,0.5767587868366654
0.029870132119744985,1.0711989347455415,0.5786950665797449
0.036237320197535006,1.0870194630807988,0.5805932607921701
0.042604508275324804,1.1030736446700757,0.5824501784808478
0.048971696353114824,1.119364930336378,0.584262628059576
0.055338884430904844,1.1358968218678855,0.5860274165141324
0.06170607250869464,1.1526728727706599,0.5877413492758682
0.06807326058648466,1.1696966890324658,0.5894012308258049
0.07444044866427446,1.1869719298978703,0.591003866042369
0.08080763674206448,1.2045023086547955,0.5925460622970322
0.0871748248198545,1.2222915934326808,0.5940246322933901
0.0935420128976443,1.2403436080124386,0.5954363976366889
0.09990920097543432,1.2586622326483725,0.5967781931125226
0.10627638905322412,1.2772514049022274,0.5980468716455372
0.11264357713101414,1.2961151204895687,0.5992393099014786
0.11901076520880416,1.3152574341386494,0.6003524144889242
0.12537795328659396,1.334682460461972,0.6013831287106018
0.13174514136438398,1.3543943748407192,0.6023284398083375
0.13811232944217378,1.3743974143222415,0.603185386640495
0.1444795175199638,1.3946958785308101,0.6039510677262518
0.15084670559775382,1.4152941305918096,0.6046226495872867
0.15721389367554361,1.4361965980695885,0.6051973753144034
0.16358108175333363,1.4574077739191587,0.6056725732843684
0.16994826983112343,1.4789322174519448,0.6060456659507258
0.17631545790891345,1.5007745553158087,0.6063141786316487
0.18268264598670347,1.5229394824895335,0.6064757482179405
0.18904983406449327,1.5454317632920065,0.6065281317251
0.1954170221422833,1.5682562324063036,0.6064692146149325
0.2017842102200731,1.5914177959188927,0.6062970188144282
0.2081513982978631,1.6149214323741958,0.6060097103625716
0.21451858637565313,1.6387721938447148,0.6056056066193096
0.22088577445344293,1.662975207016969,0.6050831829750569
0.22725296253123295,1.6875356742934713,0.6044410790038133
0.23362015060902275,1.712458874910972,0.6036781040081188
0.23998733868681277,1.737750166075229,0.6027932419096853
0.2463545267646028,1.7634149841125262,0.601785655445457
0.2527217148423926,1.7894588456382057,0.6006546896351161
0.2590889029201826,1.8158873487424592,0.5993998744924729
0.2654560909979724,1.8427061741936237,0.5980209269598135
0.2718232790757624,1.8699210866592606,0.5965177520509607
0.27819046715355245,1.897537935945257,0.5948904431955068
0.28455765523134224,1.9255626582532355,0.593139281783336
0.29092484330913226,1.954001277456535,0.5912647359150982
0.29729203138692206,1.982859906395026,0.589267458370639
0.3036592194647121,2.0121447481890664,0.5871482838135117
0.3100264075425021,2.041862097572844,0.5849082252555184
0.3163935956202919,2.072018342247426,0.5825484698106838
0.3227607836980819,2.102619964253785,0.5800703737731426
0.3291279717758717,2.1336735413661025,0.5774754570580611
0.33549515985366174,2.1651857485056563,0.5747653970488472
0.34186234793145176,2.197163359175579,0.5719420218975907
0.34822953600924156,2.229613246916815,0.5690073033287704
0.3545967240870316,2.262542386785584,0.5659633489988526
0.3609639121648214,2.2959578568526475,0.5628123944664424
0.3673311002426114,2.329866839724743,0.5595567948290755
0.3736982883204014,2.364276624088464,0.5561990160836686
0.3800654763981912,2.399194606276956,0.5527416262679741
0.38643266447598124,2.4346282918597524,0.5491872864401882
0.39279985255377103,2.470585297256079,0.5455387415531644
0.39916704063156105,2.5070733513719974,0.5417988112784629
0.4055342287093511,2.5441002972617173,0.5379703808337946
0.4119014167871409,2.5816740938134517,0.5340563918653226
0.4182686048649309,2.619802817460173,0.5300598334337842
0.4246357929427207,2.6584946639156204,0.5259837331505479
0.4310029810205107,2.697757949935969,0.5218311485065706
0.43737016909830073,2.737601115107493,0.5176051584338104
0.44373735717609053,2.7780327236606475,0.5133088551350203
0.45010454525388055,2.8190614663109423,0.5089453362140702
0.45647173333167035,2.8606961621269873,0.504517697135046
0.46283892140946037,2.9029457604261513,0.5000290240344026
0.4692061094872504,2.945819342698193,0.4954823869064923
0.4755732975650402,2.98932612455732,0.49088083317881936
0.4819404856428302,3.0334754577230756,0.48622738168952456
0.48830767372062,3.0782768320304665,0.48152501707583584
0.49467486179841,3.1237398774698013,0.47677668457863365
0.5010420498761998,3.1698743662566304,0.4719852852648743
0.5074092379539898,3.216690214932284,0.46715367166642785
0.5137764260317799,3.264197486495403,0.4622846438309655
0.5201436141095697,3.3124063925649754,0.457380945777861
0.5265108021873597,3.3613272955753106,0.45244526234970806
0.5328779902651495,3.410970711003419,0.44748021644798874
0.5392451783429395,3.4613473096293137,0.4424883666396666
0.5456123664207295,3.512467919829663,0.4374722051200459
0.5519795544985193,3.564343529905344,0.43243415601610635
0.5583467425763093,3.616985290443365,0.4273765740137011
0.5647139306540991,3.670404516713655,0.4223017432914899
